index,text,topic,subtopic
143,น้องๆคนไหนสมัครสหเวชไว้มั้ยคะ ไม่รู้ว่าประกาศหรือยังแต่มีอะไรมาสอบถามได้เลยน้าา #ช้างเผือกมธ #ธรรมศาสตร์ช้างเผือก #โครงการธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['การสมัคร', 'การสื่อสาร']"
126,"ตามที่เราเข้าใจเหมือนทางมธ.จะใช้ใบสมัครและการเขียนต่างๆในใบสมัครเป็นเกณฑ์การคัดคนเข้าสัมภาษณ์แทนการเยี่ยมบ้านเนื่องจากสถานการณ์โควิด 
เราคิดว่าน่าจะยังคงใช้เกณฑ์คะแนนขั้นต่ำเหมือนเดิมครับแค่มีการคัดคนก่อน ถ้าสัมผ่านแต่คะแนนไม่ถึงก็น่าจะไม่ติดครับ
#ธรรมศาสตร์ช้างเผือก",['ธรรมศาสตร์ช้างเผือก'],"['เกณฑ์การพิจารณา', 'การคัดเลือก', 'การสัมภาษณ์']"
127,"เปลี่ยนแค่จากคะแนนออกเยี่ยมบ้าน เป็นการสอบสัมแทน แล้วก็ยังรอคะแนนจากโอเน็ตมาคิดอยู่ใช่มั้ยอ่ะ หรือคิดเอาคะแนนแค่นี้อ่ะ
#ธรรมศาสตร์ช้างเผือก",['ธรรมศาสตร์ช้างเผือก'],"['เกณฑ์การพิจารณา', 'การคัดเลือก', 'การสัมภาษณ์']"
128,ไม่ได้วัดจากคะแนนสอบเด็กหรอกหรอ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['เกณฑ์การพิจารณา', 'การคัดเลือก']"
131,คืองงค่ะเรื่องประกาศล่าสุดของโครงการใครรู้ช่วยเดมมาคุยทีได้มั้ยคะ สงสัยมาก #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การประกาศผล', 'การสื่อสาร']"
132,มีรุ่นพี่คนไหนติดโครงการนี้ คณะศิลปศาสตร์มั้ยคะ เราอยากถามเรื่องสอบสัมภาษณ์น่ะค่ะ;-;#โครงการธรรมศาสตร์ช้างเผือก #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'ศิลปศาสตร์']","['รุ่นพี่', 'การสัมภาษณ์', 'คำแนะนำ']"
133,อ้าวประกาศแล้วหรอ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],['การประกาศผล']
135,"รุ่นพี่คนไหนเคยติดวารสารทุนนี้บ้างคะอยากสอบถาม
#ธรรมศาสตร์ช้างเผือก","['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['รุ่นพี่', 'คำแนะนำ']"
134,"#ธรรมศาสตร์ช้างเผือก
คือสัมรอบนี้แล้วถ้าใครผ่านก็ได้เลยคนที่ไม่ติดสัมแต่อาจจะคะแนนเยอะกว่าก็ปัดตกไปเลยหรอคะใครเข้าใตอธิบายเราทีน้าาาาา",['ธรรมศาสตร์ช้างเผือก'],"['เกณฑ์การพิจารณา', 'การคัดเลือก', 'การสัมภาษณ์']"
136,มีใครเป็น 1 ในรายชื่อคนได้สัม พยาบาลมธ. โครงการธรรมศาสตร์ช้างเผือก มั้ยอะ มาคุยกันหน่อยจิ #พยาบาลมธ #Dek64 #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['การสัมภาษณ์', 'เพื่อน']"
137,"มีใครติดสัมเสดสาดไหมคะ เราว่าจะหาเพื่อนคุยหน่อย
 #ธรรมศาสตร์ช้างเผือก","['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['การสัมภาษณ์', 'เพื่อน']"
138,"มีใครเข้ารอบสัมภาษณ์วิทยาการคอมไหมอ่ะ แง
#ธรรมศาสตร์ช้างเผือก","['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['การสัมภาษณ์', 'เพื่อน']"
139,หาเพื่อนคุยเรื่องสัมฯ นิติศาสตร์ครับ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['การสัมภาษณ์', 'เพื่อน']"
140,ใครติดสอบสัมภาษณ์ วิศวกรรมเคมี #ธรรมศาสตร์ช้างเผือก ทักมาทีค่ะ มีเรื่องสอบถามม,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['การสัมภาษณ์', 'เพื่อน']"
142,มีใครติดสัมภาษณ์บัญชี บริหารมั้ยคะ  #โครงการธรรมศาสตร์ช้างเผือก #ธรรมศาสตร์ช้างเผือก  #ช้างเผือกมธ,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['การสัมภาษณ์', 'เพื่อน']"
156,พรุ่งนี้แน้วน้าาาน้อนคนไหนที่ติดโครงการช้างเผือก มธ คณะวิศวกรรมศาสตร์ dm มาหาพี่ทีนะคะจะดึงเข้ากลุ่มไปพบพี่ๆกัน!!  #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['รุ่นพี่', 'กลุ่มไลน์']"
157,พรุ่งนี้ประกาศผล #ธรรมศาสตร์ช้างเผือก เเล้ว ขอให้ติดเถอะนะนอนไม่หลับมาหลายวันล่ะเนี้ย ,['ธรรมศาสตร์ช้างเผือก'],['การประกาศผล']
144,"ถ้าติดโครงการธรรมศาสตร์ช้างเผือก จองหอได้เลยไหม แล้วเขาบังคับไหมว่าต้องอยู่หอไหน
#ธรรมศาสตร์ช้างเผือก #โครงการธรรมศาสตร์ช้างเผือก","['ธรรมศาสตร์ช้างเผือก', 'หอพัก']","['สิทธิพิเศษ', 'กฎระเบียบหอพัก']"
146,น้องๆคนไหนที่ติดคณะสหเวชศาสตร์ รบกวนเดมมาหาพี่ทีนะคะ และก็ยินดีต้อนรับคนที่ติดสู่รั้วแม่โดมนะคะ #ธรรมศาสตร์ช้างเผือก #ช้างเผือกมธ #โครงการธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['รุ่นพี่', 'การสื่อสาร']"
147,"เค้าประกาศ9โมงหร่อคะ หรือว่าไง 
#ธรรมศาสตร์ช้างเผือก",['ธรรมศาสตร์ช้างเผือก'],['เวลาประกาศผล']
148,มีใครอยู่หอนอกแถวธรรมศาสตร์รังสิตไหมคะ พอดีว่าเค้าเป็นเด็กทุนเเต่อยากอยู่หอนอก#Dek64  #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'หอพัก']","['หอนอก', 'สิทธิพิเศษ']"
149,มีใครติดเศรษฐศาสตร์เพื่อนรุ่นเดียวกัน  หรือ เป็นรุ่นพี่ไหมคะพอดีเรามีเรื่องอยากจะปรึกษา #ธรรมศาสตร์ช้างเผือก #ทีมมธ  #โครงการธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['เพื่อน', 'รุ่นพี่', 'การสื่อสาร']"
150,"หาเพื่อนรัฐศาสตร์การระหว่าประเทศ #ธรรมศาสตร์ช้างเผือก ค่ะ.สาขาอื่น คณะอื่นๆก็ได้ค่ะ มาเมคเฟรนกัน
#ธรรมศาสตร์ #Dek64 #ธรรมศาสตร์ช้างเผือก","['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['เพื่อน', 'การสื่อสาร']"
155,สอบถามเรื่องหอหน่อยคับบ เราต้องออกค่าหอเองก่อนมั้ยคะ ถ้าเราจองแบบที่ทุนกำหนด #ธรรมศาสตร์ช้างเผือก,"['หอพัก', 'ทุนการศึกษา', 'ธรรมศาสตร์ช้างเผือก']","['ค่าใช้จ่าย', 'สิทธิพิเศษ']"
116,"ถ้าติดนิติรอบโครงการธรรมศาสตร์ช้างเผือก ต้องสอบวิชาเฉพาะเหมือนกับรอบสอบตรงไหมคะ. มีใครพอจะรู้บ้าง 
#นิติ #นิติมธ #นิติศาสตร์ #ธรรมศาสตร์ #ธรรมศาสตร์ช้างเผือก #โครงการธรรมศาสตร์ช้างเผือก","['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['การสอบ', 'นิติศาสตร์']"
158,อยากทราบว่าอันนี้เราจำเป็นต้องสมัครสอบให้ครบทั้ง6วิชาเลยไหมคะ หรือว่าไม่ต้องก็ได้ วอนผู้ที่รู้เกี่ยวกับโครงการธรรมศาสตร์ช้างเผือกช่วยตอบทีค่ะ #Dek65 #TCAS65 #ธรรมศาสตร์ #ธรรมศาสตร์ช้างเผือก #มธ,['ธรรมศาสตร์ช้างเผือก'],"['คุณสมบัติผู้สมัคร', 'การสมัคร']"
161,#ธรรมศาสตร์ช้างเผือก​ ถ้าไม่มีพอร์ตยื่นได้มั้ยคะ,['ธรรมศาสตร์ช้างเผือก'],"['Portfolio', 'คุณสมบัติผู้สมัคร']"
167,ถ้าไม่ได้มีเงินเดือน/รายได้ประจำไม่ต้องใส่หนังสือรับรองเงินเดือนใช่ไหมคะ #ช้างเผือกมธ #โครงการธรรมศาสตร์ช้างเผือก #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'เอกสาร']","['เอกสาร', 'การอัพโหลดเอกสาร']"
166,ตรงสรุปรายได้ผู้ปกครองถ้าเราติ๊กผู้ออกค่าใช้จ่ายทางการศึกษาแค่พ่อคนเดียว ตรงสรุปเราต้องเขียนแค่ของพ่อหรือทั้งพ่อทั้งแม่หรอคะ ㅠㅠ #โครงการธรรมศาสตร์ช้างเผือก #มธช้างเผือก #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'เอกสาร']","['เอกสาร', 'การกรอกเอกสาร']"
199,นิติศาสตร์รอบโควต้าช้างเผือกต้องสอบวิชาเฉพาะด้วยมั้ยคะ  #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['นิติศาสตร์', 'การสอบ']"
176,สอบถามหน่อยคั้บ ถ้าสัมแล้วต้องรอคะแนนออกอีกใช่มั้ยคั้บ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การสัมภาษณ์', 'ผลการพิจารณา']"
212,มีคำถามเกี่ยวกับคณะไหมคะ #ธรรมศาสตร์ช้างเผือก,"['คณะ', 'ธรรมศาสตร์ช้างเผือก']","['ข้อมูล', 'คำแนะนำ']"
206,มีใครยื่นคณะนิติศาสตร์บ้างงับ #ธรรมศาสตร์ช้างเผือก,"['คณะ', 'ธรรมศาสตร์ช้างเผือก']","['นิติศาสตร์', 'เพื่อน']"
208,พี่คนไหนที่ติดคณะสหเวชศาสตร์ เทคนิคการเเพทย์ขอปรึกษาหน่อได้ไหมครับ (ช่วยรีทวิตทีครับ) #ธรรมศาสตร์ช้างเผือก,"['คณะ', 'ธรรมศาสตร์ช้างเผือก']","['เทคนิคการแพทย์', 'รุ่นพี่', 'การติดต่อ']"
209,อยากมีเพื่อนวิดวะค่ะ #ธรรมศาสตร์ช้างเผือก,"['คณะ', 'ธรรมศาสตร์ช้างเผือก']","['เพื่อน', 'วิศวกรรมศาสตร์']"
210,พี่ๆที่ติดส่วนใหญ่ได้คะแนนประมาณไหน ผลงานระดับไหนกันบ้างคะ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['สถิติผู้สมัคร', 'ข้อมูล']"
213,มีใครจองหอF6ไหมคะ พอดีเรามีเรื่องอยากจะสอบถาม #ธรรมศาสตร์ช้างเผือก,"['หอพัก', 'ธรรมศาสตร์ช้างเผือก']","['เพื่อน', 'การติดต่อ']"
214,ตามหาเมท หอmครับ เราคณะสหเวชศาสตร์ เทคนิคการเเพทย์นะครับ ต่างคณะกันได้ครับ ตอนนี้ยังไม่มีเมทเลยนะครับ555 ช่วยรีที่ครับบบบบ #ธรรมศาสตร์ช้างเผือก,"['หอพัก', 'ธรรมศาสตร์ช้างเผือก']","['เพื่อน', 'เทคนิคการแพทย์']"
221,สอบถามคนที่ติด เราต้องยืนยันสิทธิ์ในระบบมหาวิทยาลัยก่อนใช่ไหมคะ ถึงจะยืนยันใน mytcas ต่อ แล้วยืนยันสิทธิ์ในระบบมหาวิทยาลัยตรงไหนคะ #ธรรมศาสตร์ช้างเผือก,"['ระบบ', 'ธรรมศาสตร์ช้างเผือก']","['การยืนยันสิทธิ์', 'คำแนะนำ']"
220,"สอบถามได้มั้ยคะ ถ้าติดแล้วยืนยันในระบบ mytcas แล้วเราต้องไปยืนยันที่ไหนต่อมั้ยคะ หรือสามารถติดตามรายละเอียดต่อๆไปได้ที่ไหน 
#ธรรมศาสตร์ช้างเผือก","['ระบบ', 'ธรรมศาสตร์ช้างเผือก']","['การยืนยันสิทธิ์', 'คำแนะนำ']"
219,"เมคเฟรนเศรษฐศาสตร์ครับ หาเพื่อนยากจัง มาเป็นเพื่อนกันเถอะนะ
#ธรรมศาสตร์ช้างเผือก","['คณะ', 'ธรรมศาสตร์ช้างเผือก']","['เศรษฐศาสตร์', 'เพื่อน']"
228,แบบนี้แสดงว่าติดแล้วรึยังคะ แต่เราลงสาขาภาษาอังกฤษทำไมมันขึ้นสังคมหรอคะ ใครรู้บอกทีค่ะ#ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'ระบบ']","['ผลการพิจารณา', 'การแสดงผล']"
164,หาคนให้คำปรึกษาโควตาธรรมศาสตร์ช้างเผือกครับ อยากรู้แนวทางในการเขียนแบบฟอร์มฮะ  #มธ #ทีมมธ #ธรรมศาสตร์  #ธรรมศาสตร์ช้างเผือก #ช้างเผือกมธ #dek66 #dek65,"['ธรรมศาสตร์ช้างเผือก', 'เอกสาร']","['การกรอกเอกสาร', 'คำแนะนำ']"
252,มีใครยื่นศิลปศาสตร์ รอบโควต้าธรรมศาสตร์ช้างเผือกม้ายย ได้Tgatกันเท่าไหร่บ้างคะ #ทีมมธ #dek66 #tcas66 #ธรรมศาสตร์ช้างเผือก #ช้างเผือกมธ,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['ศิลปศาสตร์', 'สถิติผู้สมัคร']"
254,ธรรมศาสตร์ช้างเผือกถ้าหาเกรดประถมกับม.ต้นไม่เจอ ต้องทำยังไงหรอคะ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'เอกสาร']","['เอกสาร', 'การกรอกเอกสาร', 'คำแนะนำ']"
256,"มีใครจะยื่นโครงการธรรมศาสตร์ช้างเผือก คณะศิลปศาสตร์ สาขาวิชาภาษาฝรั่งเศสมั้ยคะ หรือมีรุ่นพี่คนไหนให้คำปรึกษาเราได้มั้ยคะ ตามหาค่าา  
#dek66 #โครงการธรรมศาสตร์ช้างเผือก #ทีมมธ #ธรรมศาสตร์ช้างเผือก","['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['ศิลปศาสตร์', 'การติดต่อ', 'เพื่อน']"
255,สวัสดีค่ะพี่ๆ เพื่อนๆที่ผ่านมาเห็นโพสต์นี้ พอดีหนูลงธรรมศาสตร์ช้างเผือกไปค่ะ แต่จนมุมกับการกรอกใบสมัคร มีใครสามารถพอจะช่วยได้มั้ยคะ #ธรรมศาสตร์ช้างเผือก #มธช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'เอกสาร']","['การกรอกเอกสาร', 'คำแนะนำ']"
233,ตรงนี้ให้ใส่เกรดเทอมเดียวหรือเกรดเฉลี่ยรวมกัน5เทอมแล้วหรอคะ #ธรรมศาสตร์ช้างเผือก #มธ #มธรังสิต #ทีมมธ #dek66,"['ธรรมศาสตร์ช้างเผือก', 'เอกสาร']","['การกรอกเอกสาร', 'เอกสาร']"
234,"ทุนมธ ช้างเผือก ตรงนี้แนบหลักฐานไปยังไงหรอคะ แปะไปที่กรอบเลยหรือว่ายังไง

#ทีมมธ #dek66 #tcas66 #ธรรมศาสตร์ช้างเผือก #ช้างเผือกมธ","['ธรรมศาสตร์ช้างเผือก', 'เอกสาร']","['การอัพโหลดเอกสาร', 'เอกสาร']"
235,เรามีคำถาม เราเเนบไฟล์เอกสารไปยังไงคะ กดตรงไหนน  #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'เอกสาร']","['การอัพโหลดเอกสาร', 'เอกสาร']"
236,ใครยื่นรอบนี้ ขอคำปรึกษาทีนะคะ ทุกคนช่วยผ้มด้วยย #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],['คำแนะนำ']
